customer_id,ad_soyad,yas,cinsiyet,sehir,egitim,meslek_durumu,aylik_gelir_tl,medeni_durum,musteri_kkb_skoru,kayit_tarihi
C00027,Dirlik Çamurcuoğlu,41,Erkek,Samsun,Yüksek Lisans,Ücretli Çalışan,8148.54,Evli,1325,2022-12-30
C00028,Gülşa Şensoy,44,Erkek,Ankara,Lisans,Ücretli Çalışan,38756.44,Bekar,1370,2017-10-12
C00029,Öğr. Sevican Manço Eraslan,30,Erkek,İstanbul,Lisans,Ücretli Çalışan,15902.15,Evli,1728,2015-01-30
C00030,Erdibay Korutürk,43,Kadın,İstanbul,Yüksek Lisans,Ücretli Çalışan,15703.01,Boşanmış,1628,2015-10-18
C00031,İlklima Şafak,41,Erkek,Antalya,Lise,Ücretli Çalışan,30819.11,Evli,1324,2023-02-10
C00032,Nevsale Bilgin Yaman,36,Erkek,İstanbul,Ön Lisans,Emekli,16706.47,Dul,1094,2017-02-18
C00033,Dr. Aysuna Bilge Demir,43,Erkek,Ankara,Ön Lisans,Ücretli Çalışan,22414.76,Bekar,1501,2022-07-21
C00034,Tekbay Aksu,37,Kadın,İstanbul,Lisans,Serbest Meslek,10541.58,Bekar,1274,2017-10-15
C00035,Yrd. Doç. Banü Nurşan Kısakürek,35,Erkek,İstanbul,Lise,Ücretli Çalışan,13890.71,Dul,1339,2017-10-20
C00036,Arş. Gör. Hüda Çağlar Bilge Akça,44,Kadın,Ankara,Yüksek Lisans,Emekli,46573.34,Bekar,1503,2015-07-27
C00037,Uraltay Gül,43,Kadın,Samsun,Yüksek Lisans,Serbest Meslek,19273.75,Evli,1020,2016-11-12
C00038,Us Sadittin İnönü Aslan,39,Erkek,İstanbul,Ön Lisans,Ücretli Çalışan,20477.94,Bekar,1900,2016-11-05
C00039,Dilfeza Arslan,37,Erkek,İstanbul,Lisans,Ücretli Çalışan,22826.93,Dul,1491,2018-03-14
C00040,Uz. Servinaz Adila Gül,25,Erkek,İstanbul,Lise,Ücretli Çalışan,33331.9,Bekar,1687,2021-06-30
C00041,Tomurcuk İnönü,49,Kadın,Adana,Lise,Serbest Meslek,13237.06,Dul,1730,2020-08-21
C00042,Arş. Gör. Baba Bilge,23,Kadın,İstanbul,Lisans,Emekli,25954.12,Evli,1900,2015-10-08
C00043,Türknur Şennur Akar,28,Kadın,Ankara,Yüksek Lisans,Serbest Meslek,15446.94,Evli,1524,2021-06-29
C00044,Karaer İnönü,33,Kadın,Ankara,Lisans,Serbest Meslek,9918.94,Boşanmış,1397,2017-12-04
C00045,Arş. Gör. Özakan İhsanoğlu,27,Erkek,İstanbul,Ön Lisans,Ücretli Çalışan,24664.41,Boşanmış,1270,2020-02-16
C00046,Sümeyye Hayrioğlu,58,Kadın,İstanbul,Lisans,Ücretli Çalışan,14010.13,Bekar,1299,2015-10-28
C00047,Bayan Dilfeza İhsanoğlu Arsoy,49,Erkek,İstanbul,Lise,Ücretli Çalışan,11454.19,Bekar,1436,2024-11-10
C00048,Hayrünnisa Ağbegim Yüksel,55,Erkek,İstanbul,Lisans,Ücretli Çalışan,9668.54,Boşanmış,1426,2021-11-10
C00049,Atilhan Gül,43,Kadın,Antalya,Lisans,İşsiz,28334.07,Bekar,910,2024-11-05
C00050,Av. Behiza İnönü Duran,24,Kadın,Mersin,Lisans,Ücretli Çalışan,25206.92,Evli,1494,2018-01-20
C00051,Başok Ülker,43,Kadın,Adana,Lise,Ücretli Çalışan,23292.85,Boşanmış,1329,2020-09-01
C00052,Arş. Gör. Firdevis Eraslan Fırat,42,Kadın,İstanbul,Ön Lisans,Ücretli Çalışan,22740.04,Boşanmış,1321,2015-06-30
C00053,Öğr. Zerafet Gülper Demirel,62,Kadın,Bursa,Lise,Ücretli Çalışan,24667.08,Dul,1202,2021-03-09
C00054,Piran Nurda Dumanlı,47,Kadın,İstanbul,Yüksek Lisans,Serbest Meslek,12853.78,Evli,1576,2021-02-12
C00055,Dr. Hoşkadem Hadrey Erdoğan Şama,53,Erkek,Bursa,Lise,Ücretli Çalışan,13776.13,Evli,1620,2015-06-21
C00056,Soykut Durmuş,44,Kadın,Mersin,Lise,Ücretli Çalışan,28851.78,Evli,1900,2022-06-24
C00057,Yrd. Doç. Duruk Abdülahat Erdoğan,37,Erkek,Denizli,Lisans,Ücretli Çalışan,14197.47,Evli,1157,2024-09-11
C00058,Eflâtun Arcan Akçay,30,Kadın,Mersin,İlkokul,Ücretli Çalışan,19250.73,Boşanmış,1585,2023-10-10
C00059,Gürsal Arkut Zorlu,43,Kadın,İstanbul,Lisans,Emekli,28918.37,Bekar,1463,2019-04-16
C00060,Çev. Tüzeer Nurullah Bilir,57,Erkek,İstanbul,Lisans,Emekli,17692.65,Dul,1900,2018-12-03
C00061,Yigit İhsanoğlu,47,Kadın,İstanbul,Lisans,Ücretli Çalışan,13551.86,Dul,1112,2018-09-06
C00062,Öğr. Sonnur Sezgin Seven,45,Kadın,Samsun,Lise,Ücretli Çalışan,18023.68,Dul,1678,2022-08-15
C00063,Aykutalp Sakarya,45,Erkek,Eskişehir,Lise,İşsiz,19287.78,Boşanmış,1008,2017-01-01
C00064,Okt. Safinaz Revza Ertaş,21,Erkek,İstanbul,Lisans,Serbest Meslek,16302.41,Boşanmış,1634,2023-03-04
C00065,Ulu Tunçboğa Şensoy,42,Erkek,Bursa,Lisans,İşveren,11377.78,Dul,1423,2025-02-01
C00066,Altınkaya Koşukhan Gül Şama,44,Erkek,İstanbul,Ön Lisans,Serbest Meslek,13390.01,Evli,1418,2019-01-31
C00067,Erdursun Dalkılıç Akar Duran,40,Erkek,Bursa,Lisans,Ücretli Çalışan,11916.31,Bekar,1469,2023-01-27
C00068,Uz. Sadiye Gülbiye Aslan Ertaş,46,Erkek,Antalya,Lise,Emekli,32447.32,Boşanmış,1723,2021-03-20
C00069,Av. Arıkol Mirbadin Sezgin,23,Erkek,Antalya,Ön Lisans,Ücretli Çalışan,13068.74,Evli,1428,2021-11-26
C00070,Aliihsan Tunahan Duran Karadeniz,46,Erkek,İzmir,İlkokul,Serbest Meslek,25128.84,Boşanmış,1900,2017-05-10
C00071,Aygutalp İhsanoğlu,46,Erkek,İzmir,Ön Lisans,Ücretli Çalışan,33223.23,Evli,1738,2020-09-24
C00072,Uz. Köker Nurullah Güçlü,47,Kadın,Antalya,Lise,Ücretli Çalışan,17294.24,Boşanmış,1689,2016-01-18
C00073,Koçak Akçay,30,Kadın,Antalya,Lise,İşveren,17915.68,Evli,1378,2016-08-26
C00074,Burakhan Kasim Yılmaz,40,Kadın,Denizli,Lisans,Ücretli Çalışan,56477.43,Bekar,1033,2020-02-09
C00075,Kaver İhsanoğlu Çetin,48,Kadın,Adana,Ön Lisans,Ücretli Çalışan,9645.8,Dul,1262,2017-09-26
C00076,Çev. Safinaz Çisem Ülker Demirel,53,Kadın,Mersin,Yüksek Lisans,Ücretli Çalışan,20515.3,Bekar,1230,2023-09-24
C00077,Uz. Gülev Arslan Bilir,31,Kadın,Gaziantep,Lisans,Ücretli Çalışan,27060.19,Dul,1317,2015-07-25
C00078,Sezal Zahid Duran,42,Kadın,İzmir,Lisans,Serbest Meslek,20343.31,Boşanmış,1337,2023-06-21
C00079,Çakırca Gücal Yorulmaz,65,Erkek,Gaziantep,Lisans,Emekli,26509.64,Evli,953,2023-05-05
C00080,Sittik Nevsal Zorlu,42,Erkek,İstanbul,Lise,Emekli,14797.24,Boşanmış,1553,2023-08-03
C00081,Bay Oruç Çorlu,30,Erkek,Bursa,Lise,İşveren,18927.45,Bekar,1626,2023-01-01
C00082,Dr. Sökmen Erdoğan,50,Erkek,Ankara,Yüksek Lisans,Ücretli Çalışan,11612.84,Bekar,1296,2016-07-20
C00083,Öğr. Baydu Serda Yüksel,34,Erkek,Antalya,Lisans,Ücretli Çalışan,14853.66,Bekar,1821,2019-08-27
C00084,Tayaydın Atalay Seven,44,Erkek,Ankara,Lise,Ücretli Çalışan,11300.5,Dul,1609,2019-05-15
C00085,Kader Bilir,65,Kadın,Kayseri,Lisans,Emekli,31717.04,Dul,1080,2020-05-07
C00086,Hayel Eraslan,34,Erkek,İstanbul,Ön Lisans,Ücretli Çalışan,35246.09,Dul,1323,2021-01-13
C00087,Emal Ülker Şensoy,45,Kadın,İzmir,Lise,Serbest Meslek,28242.56,Dul,1268,2015-04-29
C00088,Sevginur Misra İhsanoğlu,39,Erkek,Adana,Lisans,Ücretli Çalışan,8000.0,Evli,1123,2021-12-23
C00089,Abdülhadi Ertaş,36,Erkek,Bursa,Lisans,Ücretli Çalışan,11367.32,Bekar,1788,2022-03-17
C00090,Aru Safet Bilir Zorlu,22,Erkek,İstanbul,Lise,Ücretli Çalışan,16349.95,Boşanmış,1452,2017-05-16
C00091,Emine. İhsanoğlu,57,Erkek,Konya,Ön Lisans,Ücretli Çalışan,10444.83,Dul,1670,2017-10-30
C00092,Behiza Hezniye Arsoy Arslan,40,Erkek,İstanbul,Lisans,İşveren,12814.35,Boşanmış,1495,2017-07-07
C00093,Öğr. İvecen Duran,42,Kadın,Adana,Yüksek Lisans,Serbest Meslek,15212.95,Evli,1517,2024-05-30
C00094,Şevketfeza Yosma Yılmaz,35,Kadın,İstanbul,Ön Lisans,Ücretli Çalışan,20974.92,Bekar,1665,2021-04-29
C00095,Cuheyna Enfes Eraslan,59,Erkek,Antalya,Lisans,Emekli,11418.42,Evli,1873,2021-10-17
C00096,Bahaddin Zoral Durmuş Manço,18,Kadın,Konya,Lise,Serbest Meslek,18614.51,Boşanmış,1567,2016-03-18
C00097,Lezize Tevetoğlu,43,Erkek,Bursa,Yüksek Lisans,Serbest Meslek,15059.81,Dul,1447,2019-06-13
C00098,Yaşattin Şama,34,Kadın,İstanbul,Lisans,Emekli,15287.42,Evli,1672,2016-02-22
C00099,Uzsoy Şener,44,Erkek,Kayseri,Lisans,Serbest Meslek,14591.45,Bekar,1604,2023-12-06
C00100,Tülin Soylu,43,Kadın,Ankara,Ön Lisans,İşsiz,28732.61,Boşanmış,1377,2015-10-10
C00101,Ayçan Çorlu,30,Erkek,İstanbul,Ön Lisans,Ücretli Çalışan,15489.51,Dul,1686,2016-03-08
C00102,Av. Kısmet Aynımah Yılmaz,47,Erkek,Bursa,Lisans,Ücretli Çalışan,19743.79,Evli,1529,2019-11-19
C00103,Elvan Şener,55,Erkek,Bursa,Yüksek Lisans,Ücretli Çalışan,15272.25,Dul,1636,2020-03-19
C00104,Feyha Korutürk,37,Erkek,Ankara,Lise,Ücretli Çalışan,18070.63,Bekar,1774,2018-02-16
C00105,Arş. Gör. Salimet Övün Yılmaz Demir,49,Kadın,Adana,Lisans,Emekli,28740.98,Dul,1786,2018-10-09
C00106,Uğurkan Akçay,40,Erkek,İstanbul,Lise,Ücretli Çalışan,27088.89,Boşanmış,1422,2018-10-26
C00107,Sancak Türk,43,Erkek,İzmir,Lisans,Ücretli Çalışan,18796.68,Evli,1524,2015-12-17
C00108,İldeş Çalım Manço Şafak,47,Erkek,İzmir,Lisans,Ücretli Çalışan,13791.4,Dul,1900,2022-03-30
C00109,Aköz Hançer,27,Erkek,Konya,Lise,Serbest Meslek,11540.47,Evli,1669,2019-07-15
C00110,Aygönenç Neslinur Bilir Tarhan,49,Erkek,Antalya,Ön Lisans,Serbest Meslek,26393.0,Boşanmış,1657,2019-10-09
C00111,Dr. Ağakişi Hükümdar Öcalan,39,Erkek,Ankara,Ön Lisans,İşsiz,13309.53,Boşanmış,1118,2017-10-26
C00112,Yrd. Doç. Fehmiye Havali Bilge,31,Kadın,Ankara,Lisans,Ücretli Çalışan,30909.04,Evli,1463,2017-02-23
C00113,Prof. Ürfettin Akçay,30,Erkek,İstanbul,Lisans,Ücretli Çalışan,17246.7,Boşanmış,1603,2016-02-16
C00114,Bayan Gül Müsemma Çetin,33,Erkek,İstanbul,Lise,İşveren,13766.6,Bekar,1440,2022-12-10
C00115,Prof. Huban Kerime Aksu,42,Erkek,İstanbul,Lise,Ücretli Çalışan,15865.08,Boşanmış,1382,2022-10-27
C00116,Kaygusuz Akver Akdeniz Güçlü,42,Erkek,İstanbul,İlkokul,Emekli,10387.54,Boşanmış,988,2020-04-06
C00117,Öğr. İdiris Münif Ergül,31,Erkek,İstanbul,Lise,Ücretli Çalışan,18105.1,Dul,1577,2016-04-12
C00118,Haliye Habibe Yıldırım,57,Erkek,İzmir,Lisans,İşveren,29317.7,Bekar,1460,2016-09-13
C00119,Korugan Şama,39,Erkek,İstanbul,Lise,Ücretli Çalışan,12693.71,Dul,1375,2021-10-19
C00120,Belgizar Öcalan,36,Kadın,Konya,Ön Lisans,Serbest Meslek,23045.44,Dul,1293,2018-05-02
C00121,Necva Şensoy,46,Erkek,Ankara,Lisans,Emekli,39724.86,Bekar,1432,2023-07-22
C00122,Zehranur Şama Akça,44,Kadın,İstanbul,Lise,Ücretli Çalışan,27188.92,Evli,1399,2016-12-12
C00123,Barışcan Akgündüz,42,Kadın,İstanbul,Ön Lisans,Serbest Meslek,20043.63,Dul,1524,2018-04-07
C00124,Gözem Zengin,30,Erkek,Antalya,Lisans,Ücretli Çalışan,20151.41,Dul,1624,2015-10-19
C00125,Ayduru Sakarya,57,Erkek,Konya,Lisans,Serbest Meslek,30689.38,Evli,1900,2019-10-08
C00126,Okt. Minibe Seblâ Tevetoğlu,30,Kadın,Bursa,Yüksek Lisans,Ücretli Çalışan,29511.77,Evli,1545,2015-10-20
C00127,Kaşif Seydo Akar Eraslan,66,Erkek,Bursa,Lisans,Ücretli Çalışan,13853.12,Boşanmış,1170,2019-12-04
C00128,Yamin Merzuk Yılmaz,32,Erkek,Antalya,Yüksek Lisans,Ücretli Çalışan,8000.0,Dul,1248,2019-11-29
C00129,Jankat Şafak,30,Kadın,Mersin,Lisans,Ücretli Çalışan,21325.89,Boşanmış,1585,2015-04-16
C00130,Tümer Çamurcuoğlu,62,Kadın,Trabzon,Lisans,Ücretli Çalışan,30567.44,Boşanmış,1355,2021-06-18
C00131,Minibe Ülker,29,Kadın,İzmir,Lisans,Ücretli Çalışan,24868.66,Boşanmış,1169,2017-01-13
C00132,Yeneral Ginyas Zorlu Hançer,61,Erkek,Bursa,Ön Lisans,İşsiz,33885.69,Bekar,1102,2020-04-09
C00133,Okt. Rahiye Mehdiye Durmuş,19,Erkek,Ankara,Lise,Ücretli Çalışan,36652.71,Evli,1391,2018-09-12
C00134,Dalkılıç Seven,54,Erkek,İstanbul,Yüksek Lisans,Ücretli Çalışan,9725.51,Bekar,1230,2020-02-06
C00135,Gökperi Mansız Durdu,40,Erkek,Ankara,Doktora,Ücretli Çalışan,20356.21,Dul,1387,2024-09-12
C00136,Rayla Zülbiye Karadeniz,47,Kadın,Antalya,Lisans,Ücretli Çalışan,12327.29,Dul,1344,2015-08-11
C00137,Göken Arslan,41,Erkek,Bursa,Ön Lisans,Ücretli Çalışan,25121.96,Dul,1677,2023-07-10
C00138,Melihcan Çetin,26,Erkek,İzmir,Yüksek Lisans,Ücretli Çalışan,9993.08,Dul,1699,2024-11-16
C00139,Seçgül Dumanlı,43,Kadın,İstanbul,Lisans,Serbest Meslek,14231.04,Evli,1767,2022-12-17
C00140,Dr. Gülşeref Umuşan Güçlü Çetin,41,Kadın,İzmir,Lise,Ücretli Çalışan,33883.51,Bekar,1516,2020-03-05
C00141,Dr. Atgun Arslan,64,Kadın,İzmir,Lisans,Emekli,43910.26,Boşanmış,1397,2019-08-29
C00142,Büşranur Alemdar,51,Erkek,İstanbul,Lisans,İşveren,26646.66,Dul,1842,2017-02-19
C00143,Dr. Gönen Ebuakil Sezgin,28,Kadın,Kayseri,Lise,Emekli,27138.89,Dul,1724,2018-10-24
C00144,Bilender Yıldırım,18,Erkek,Gaziantep,Lise,Emekli,11702.22,Boşanmış,750,2024-05-23
C00145,Ercihan Nerim Mansız,36,Erkek,Kayseri,Ön Lisans,Serbest Meslek,27526.21,Dul,1875,2018-11-14
C00146,Möhsim Seven,40,Erkek,İzmir,Lise,Ücretli Çalışan,41476.28,Evli,1154,2022-10-27
C00147,Yekda Sezer,19,Erkek,İstanbul,Lisans,Ücretli Çalışan,19438.36,Bekar,1516,2018-07-27
C00148,Taçnur Gülen Yüksel,39,Erkek,Ankara,Lisans,Serbest Meslek,8000.0,Evli,1357,2020-07-21
C00149,Turabi Sezer,24,Kadın,İzmir,Lisans,İşsiz,26939.6,Bekar,1231,2024-10-20
C00150,Çapkan Bilge,28,Kadın,İzmir,Ön Lisans,İşveren,15815.72,Evli,1235,2019-08-07
C00151,Özakan Mazlum Bilgin Akçay,39,Kadın,İstanbul,Lisans,Emekli,30632.42,Boşanmış,1213,2018-10-18
C00152,Bayan Çolpan Hurican Çamurcuoğlu Akdeniz,46,Erkek,Bursa,Yüksek Lisans,Serbest Meslek,15699.5,Dul,1301,2018-07-21
C00153,Mücellib Bektaşi Sezgin Ertaş,38,Erkek,Kayseri,İlkokul,Serbest Meslek,12508.22,Bekar,1241,2017-08-19
C00154,Selmin Mansız,25,Erkek,Trabzon,Lisans,Serbest Meslek,48248.8,Dul,1508,2016-02-08
C00155,Av. Zülbiye Semat Akçay,31,Kadın,Ankara,Lisans,İşveren,21944.92,Bekar,1471,2015-07-08
C00156,Doç. Nerim Dumanlı,37,Kadın,İstanbul,Ön Lisans,Ücretli Çalışan,26275.05,Evli,1689,2017-09-27
C00157,Hoşkadem Karadeniz,33,Kadın,İstanbul,Lise,Ücretli Çalışan,15380.9,Dul,1431,2021-12-13
C00158,Yahşi Soylu,18,Erkek,Eskişehir,Lise,Serbest Meslek,10078.54,Dul,1641,2022-02-25
C00159,Çev. Meşhur Asalet Demirel,59,Erkek,Antalya,Yüksek Lisans,Ücretli Çalışan,17817.45,Dul,1644,2025-02-08
C00160,Hasret Kumral Şama,43,Kadın,İstanbul,Yüksek Lisans,Ücretli Çalışan,79657.89,Boşanmış,1779,2022-03-02
C00161,Zeride Çorlu,38,Erkek,İzmir,Lise,İşsiz,12964.98,Dul,698,2024-07-27
C00162,Binbaşar Bilgin,42,Kadın,Ankara,Ön Lisans,Ücretli Çalışan,14180.77,Boşanmış,1024,2022-11-04
C00163,Fayize Demirel Bilir,32,Erkek,İstanbul,Lisans,Ücretli Çalışan,12250.27,Bekar,1801,2025-03-18
C00164,Kıvılcım Seven,50,Erkek,Gaziantep,Yüksek Lisans,Serbest Meslek,19858.99,Evli,1869,2021-10-22
C00165,Zeyno Ertaş,40,Kadın,Bursa,Lisans,İşveren,13526.72,Evli,1760,2022-01-17
C00166,Bayan Gülsü Sabır Kısakürek,46,Kadın,Ankara,Ön Lisans,Ücretli Çalışan,12496.94,Boşanmış,1332,2023-03-19
C00167,Çoğay Durdu,29,Erkek,Ankara,Ön Lisans,Ücretli Çalışan,10697.23,Evli,1611,2016-06-25
C00168,Sunay Yılmaz Akça,62,Erkek,İzmir,Yüksek Lisans,İşveren,10621.6,Evli,1520,2017-11-18
C00169,Meleknur Orçin Akdeniz Akçay,32,Erkek,Samsun,Lise,Emekli,16007.19,Boşanmış,1311,2024-01-08
C00170,Arş. Gör. Zöhrehan Şefiye Akçay,29,Kadın,İstanbul,Yüksek Lisans,Ücretli Çalışan,20370.33,Dul,1292,2024-06-26
C00171,Öğr. Durmuşali Esentürk Şafak,43,Erkek,İstanbul,Ön Lisans,İşveren,19484.86,Boşanmış,1440,2021-01-06
C00172,Bayan Oluş Şama Ülker,29,Erkek,Antalya,Lisans,Ücretli Çalışan,15374.31,Dul,1688,2024-03-22
C00173,Firdevis Karadeniz Ertaş,46,Erkek,İstanbul,Lise,Serbest Meslek,12837.17,Bekar,1404,2021-12-12
C00174,Tayyip Duran,49,Erkek,Eskişehir,Lise,Emekli,9402.85,Bekar,1475,2022-02-15
C00175,Koldan Zengin,32,Erkek,Bursa,Lise,İşveren,25764.93,Bekar,1309,2015-06-02
C00176,Atatöre Şensoy,18,Erkek,İstanbul,Lise,Ücretli Çalışan,9581.66,Evli,1312,2019-05-11
C00177,Uz. Sevsevil Gülbeyan Yorulmaz,43,Erkek,Bursa,Lisans,Ücretli Çalışan,13267.3,Dul,1539,2022-05-06
C00178,Nurmelek Hayrioğlu,20,Erkek,Bursa,Yüksek Lisans,Ücretli Çalışan,19346.45,Boşanmış,1117,2015-05-15
C00179,Muvaffak Hayrioğlu,32,Kadın,Ankara,Yüksek Lisans,Serbest Meslek,20360.04,Boşanmış,1284,2016-02-11
C00180,Nurmelek Aslan,35,Erkek,İzmir,Doktora,İşsiz,31345.68,Boşanmış,1075,2015-09-06
C00181,Çev. Bidayet Sirap Yıldırım,50,Kadın,Samsun,Yüksek Lisans,Ücretli Çalışan,11987.65,Dul,1512,2016-01-11
C00182,Hiçsönmez Eba Şensoy,57,Kadın,İstanbul,Lise,Serbest Meslek,8000.0,Evli,1180,2023-10-29
C00183,Özaslan Şensoy,46,Kadın,Gaziantep,Lisans,Serbest Meslek,18190.04,Evli,1592,2024-02-13
C00184,Çağlasın Akdurmuş Akça,32,Erkek,Konya,Lisans,Emekli,20722.29,Bekar,1421,2018-02-09
C00185,Öğr. Şahat Adıgün Mansız,54,Kadın,Denizli,Lisans,Emekli,22347.94,Evli,1544,2016-03-26
C00186,Enes Yaman,35,Kadın,İstanbul,Ön Lisans,Serbest Meslek,16003.73,Evli,1391,2021-08-08
C00187,Dr. Dilşat Durdu Akça,44,Kadın,İstanbul,Lise,Ücretli Çalışan,16490.78,Dul,1572,2020-11-24
C00188,Nafii Sezer,64,Kadın,İzmir,Lisans,Ücretli Çalışan,29495.89,Bekar,1418,2020-01-26
C00189,Nili Aksu,54,Kadın,Adana,Yüksek Lisans,Ücretli Çalışan,16586.86,Boşanmış,990,2020-02-20
C00190,Över İlalmış Aksu Hançer,27,Kadın,İstanbul,Ön Lisans,Serbest Meslek,8588.19,Dul,1292,2019-10-13
C00191,Seyithan Akatay İhsanoğlu Hançer,40,Erkek,Adana,Ön Lisans,Serbest Meslek,42378.51,Bekar,1581,2018-08-12
C00192,Permun Akça Demirel,37,Kadın,İstanbul,Lisans,Serbest Meslek,28947.31,Boşanmış,947,2019-04-10
C00193,Arıkol Zengin,42,Erkek,İzmir,Lisans,İşsiz,28194.7,Bekar,850,2023-11-23
C00194,Dr. Vedat Önel Hançer,53,Kadın,Ankara,Yüksek Lisans,Serbest Meslek,23209.65,Dul,1396,2018-10-20
C00195,Özpınar Selâtin Çetin Türk,47,Erkek,Ankara,Lise,İşveren,55371.03,Dul,1545,2018-07-04
C00196,Yıldız Samahat Ülker Arsoy,42,Erkek,Samsun,Lisans,Serbest Meslek,16208.44,Dul,1287,2015-10-02
C00197,Orgün Şensoy,49,Kadın,İstanbul,Lise,Ücretli Çalışan,13558.41,Boşanmış,1397,2024-02-08
C00198,Akyıldız Akdeniz,34,Kadın,Bursa,Lisans,Ücretli Çalışan,24724.28,Boşanmış,1583,2022-07-07
C00199,Av. Tangül Deha Şafak,52,Erkek,Kayseri,Yüksek Lisans,Ücretli Çalışan,15843.15,Dul,1432,2024-09-25
C00200,Sevim Fayize Şafak Akçay,28,Kadın,Samsun,Lisans,Emekli,16318.72,Boşanmış,1554,2016-02-29
C00201,Şöhret Sezgin,49,Kadın,İstanbul,Ön Lisans,Serbest Meslek,13161.16,Bekar,1597,2018-12-05
C00202,Öğr. Seblâ Alemdar Gül,56,Erkek,İstanbul,Lise,İşveren,24005.68,Evli,1900,2024-01-20
C00203,Musaffa Akdeniz,30,Kadın,Bursa,Lisans,Ücretli Çalışan,11383.33,Boşanmış,935,2015-04-29
C00204,Av. Atnan Eşref Akgündüz,57,Erkek,Eskişehir,Ön Lisans,Ücretli Çalışan,26754.68,Evli,1486,2024-10-02
C00205,Öğr. Sezen Üge Mansız Ülker,43,Erkek,İstanbul,Lisans,Ücretli Çalışan,12010.42,Bekar,1900,2016-01-11
C00206,Nades Yıldırım Soylu,41,Kadın,Ankara,Ön Lisans,Serbest Meslek,20936.05,Evli,1681,2019-02-24
C00207,Gülbeyan Soylu,45,Erkek,Konya,Lisans,Ücretli Çalışan,22042.94,Bekar,1302,2024-11-27
